%time,field
1559775765131378889,522.508635382
1559775765133461952,522.501352988
1559775765135314941,522.502245017
1559775765137345075,522.51480071
1559775765139328956,522.519432332
1559775765141283988,522.511999018
1559775765143110036,522.516509832
1559775765145697116,522.513122898
1559775765147188901,522.513625853
1559775765151256084,522.506243244
1559775765153247117,522.49493129
1559775765155488967,522.483717644
1559775765157239913,522.481129353
1559775765159270048,522.4661787
1559775765161386966,522.479889847
1559775765163491010,522.489422721
1559775765165360927,522.510932284
1559775765169219970,522.511725774
1559775765173172950,522.516909062
1559775765175393104,522.535047523
1559775765177110910,522.543471347
1559775765179549932,522.534787344
1559775765181345939,522.521807176
1559775765183103084,522.522018975
1559775765185308933,522.51821454
1559775765187115907,522.518533186
1559775765189718961,522.510638131
1559775765191068887,522.502978753
1559775765193188905,522.512040653
1559775765195867061,522.525164756
1559775765197189092,522.549915529
1559775765199136972,522.553310128
1559775765201071023,522.557219559
1559775765203147888,522.561062025
1559775765205261945,522.556467248
1559775765207098007,522.571902857
1559775765209250926,522.558845204
1559775765211667060,522.562598671
1559775765214833974,522.55360532
1559775765217197895,522.540277737
1559775765218179941,522.544326396
1559775765219764947,522.535493421
1559775765221826076,522.539580745
1559775765224292039,522.560317021
1559775765225919008,522.572370776
1559775765227711915,522.571829336
1559775765228255033,522.582592011
1559775765229855060,522.584823203
1559775765231621980,522.586958033
1559775765233396053,522.577270083
1559775765235497951,522.568507363
1559775765237231016,522.571066074
1559775765239222049,522.577348568
1559775765241220951,522.591990088
1559775765243292093,522.590814293
1559775765245455026,522.589587317
1559775765247088909,522.579704888
1559775765249020099,522.581855712
1559775765251245021,522.572951157
1559775765253169059,522.58293648
1559775765255650043,522.58961429
1559775765257344961,522.595275006
1559775765259980916,522.593097548
1559775765261852025,522.614811979
1559775765265235900,522.617222743
1559775765265847921,522.613047062
1559775765267127990,522.614104468
1559775765269161939,522.61223438
1559775765271359920,522.606323393
1559775765273071050,522.611450706
1559775765275782108,522.617459592
1559775765276226997,522.616366488
1559775765277199029,522.613328958
1559775765279268980,522.615265108
1559775765281207084,522.619972515
1559775765283194065,522.61781503
1559775765285419940,522.618846361
1559775765287256002,522.619503077
1559775765289385080,522.625197457
1559775765291738033,522.630784419
1559775765293049097,522.643053426
1559775765295345067,522.644409834
1559775765300025939,522.643350511
1559775765301183938,522.638515623
1559775765303081035,522.642580072
1559775765305011987,522.621173956
1559775765305493116,522.620098959
1559775765307023048,522.612290351
1559775765309359073,522.613687885
1559775765311075925,522.622308266
1559775765313277006,522.623469844
1559775765315119981,522.619664749
1559775765315507888,522.61865365
1559775765317152023,522.622910524
1559775765319353103,522.615446617
1559775765321177005,522.620523762
1559775765323024988,522.624625035
1559775765326392889,522.622452748
1559775765326777935,522.621410233
1559775765327235937,522.609516577
1559775765329005002,522.610066944
1559775765331484079,522.611217573
1559775765332968950,522.607970473
1559775765335010051,522.612184059
1559775765335730075,522.61126808
1559775765336894035,522.604567883
1559775765338859081,522.601645005
1559775765340967893,522.595636344
1559775765343488931,522.607704939
1559775765345268964,522.593867077
1559775765345721006,522.593130677
1559775765346965074,522.590468708
1559775765349045038,522.602313764
1559775765351149082,522.606968144
1559775765353260040,522.593240927
1559775765355077981,522.586817217
1559775765355606079,522.586187893
1559775765356894969,522.580086235
1559775765359292984,522.563368572
1559775765361064910,522.572012647
1559775765363075017,522.58771378
1559775765365021944,522.585063568
1559775765365353107,522.584460035
1559775765367034912,522.578464596
1559775765369045972,522.583187791
1559775765371037960,522.591473574
1559775765373130083,522.59975862
1559775765376241922,522.600651557
1559775765376579999,522.599887579
1559775765377011060,522.596543679
1559775765379007101,522.597151382
1559775765381181001,522.598024137
1559775765382936954,522.612507759
1559775765385144948,522.609586619
1559775765385627985,522.608693703
1559775765386923074,522.598495546
1559775765389081954,522.599271445
1559775765391483068,522.603609466
1559775765393443107,522.589666901
1559775765395059108,522.59398424
1559775765395672082,522.593243274
1559775765397066116,522.579730023
1559775765399138927,522.577049448
1559775765401159048,522.581594758
1559775765402904033,522.571968151
1559775765405109882,522.565824196
1559775765405404090,522.565424547
1559775765407005071,522.566698198
1559775765409166097,522.567728914
1559775765410914897,522.561929218
1559775765413505077,522.566573372
1559775765416013956,522.567627896
1559775765416518926,522.567213829
1559775765417207956,522.565163098
1559775765419054031,522.56296332
1559775765421025991,522.557473403
1559775765423254966,522.561959279
1559775765425120115,522.570014831
1559775765425631999,522.569519737
1559775765429341077,522.580828466
1559775765431216955,522.564225515
1559775765433178901,522.561673444
1559775765434998035,522.563009059
1559775765435631036,522.562589428
1559775765437184095,522.556970878
1559775765439187049,522.5684921
1559775765440927982,522.559228653
1559775765442878961,522.567379646
1559775765445027112,522.568326297
1559775765445507049,522.567907687
1559775765447299003,522.569016758
1559775765449270963,522.545585872
1559775765451296091,522.546800708
1559775765453236103,522.544420018
1559775765455358982,522.535522939
1559775765455773115,522.535461568
1559775765457134008,522.53393179
1559775765458916902,522.532452058
1559775765461180925,522.519771972
1559775765463073015,522.497855287
1559775765465415954,522.510238374
1559775765465965032,522.510346407
1559775765467124938,522.519863792
1559775765469248056,522.542552791
1559775765470920085,522.547863974
1559775765472956895,522.542047694
1559775765475087881,522.536225525
1559775765475461959,522.536158546
1559775765477067947,522.545224939
1559775765479171991,522.535805573
1559775765481178045,522.544634302
1559775765485219955,522.553180509
1559775765485666036,522.552951755
1559775765486995935,522.547028092
1559775765489458084,522.552490046
1559775765490787982,522.558094429
1559775765493052959,522.547843648
1559775765495054960,522.545913835
1559775765495615959,522.545794154
1559775765497000932,522.555136973
1559775765498953104,522.545706385
1559775765501360893,522.547231212
1559775765503057003,522.549085937
1559775765505191087,522.528150662
1559775765505563974,522.528133271
1559775765507023096,522.519518163
1559775765508929014,522.511244991
1559775765511024951,522.527856273
1559775765513281106,522.522213026
1559775765515045881,522.53577284
1559775765515736103,522.53571257
1559775765520036935,522.524829664
1559775765521003961,522.519772133
1559775765522885084,522.514933034
1559775765524965047,522.528632424
1559775765525399923,522.528592457
1559775765526993036,522.527303417
1559775765529721021,522.536884542
1559775765531133890,522.550362812
1559775765533212900,522.544779653
1559775765535334110,522.550255663
1559775765535947084,522.54999097
1559775765537107944,522.559128832
1559775765541039943,522.54906875
1559775765543103933,522.558545932
1559775765545047998,522.552542552
1559775765545598983,522.552286715
1559775765546957969,522.561520457
1559775765549391984,522.563029154
1559775765551520109,522.55299676
1559775765553191900,522.554802542
1559775765555232048,522.545322684
1559775765555624008,522.545089072
1559775765557086944,522.539723552
1559775765559019088,522.53038627
1559775765561007022,522.543673756
1559775765563160896,522.549132571
1559775765565045118,522.539993651
1559775765565635919,522.539747251
1559775765567172050,522.531046841
1559775765569032907,522.526215035
1559775765571177005,522.520927198
1559775765573187112,522.515657833
1559775765575104951,522.52201948
1559775765575763940,522.521924948
1559775765577467918,522.513826576
1559775765579022884,522.50602876
